player_id,birth_date,zodiac,dob_source,dob_verified
18911,1992-04-19,Aries,Wikidata:Q15999945,False
18917,,,,False
18918,,,,False
18929,1999-11-22,Sagittarius,Wikidata:Q53652291,False
18931,1991-12-07,Sagittarius,API-Football-ID,True
18932,1988-03-17,Pisces,Wikidata:Q348813,False
18935,1989-12-03,Sagittarius,Wikidata:Q887695,False
18940,,,,False
18941,1995-09-18,Virgo,Wikidata:Q18128628,False
18943,1992-08-03,Leo,Wikidata:Q66358,False
18947,1993-09-01,Virgo,Wikidata:Q13780454,False
18955,1992-07-23,Leo,Wikidata:Q5220475,False
18959,1997-11-18,Scorpio,Wikidata:Q56043276,False
18960,1990-08-18,Leo,Wikidata:Q509809,False
18961,1992-05-09,Taurus,Wikidata:Q5213217,False
18963,1991-11-21,Scorpio,Wikidata:Q6536506,False
18968,1996-08-30,Virgo,Wikidata:Q22683033,False
19004,1993-02-02,Aquarius,Wikidata:Q10514792,False
19012,1992-05-24,Gemini,Wikidata:Q16200385,False
19025,1991-01-20,Aquarius,Wikidata:Q1061904,False
19030,2000-11-21,Scorpio,Wikidata:Q35829599,False
19032,2000-05-18,Taurus,Wikidata:Q26250297,False
19035,,,,False
19070,2000-01-04,Capricorn,Wikidata:Q56641599,False
19071,1996-12-25,Capricorn,Wikidata:Q18637343,False
19088,1997-03-12,Pisces,Wikidata:Q28059260,False
19119,1999-12-31,Capricorn,Wikidata:Q60194671,False
19128,1996-11-20,Scorpio,API-Football-ID,True
19130,1995-12-02,Sagittarius,Wikidata:Q20641319,False
19136,,,,False
19143,1993-03-25,Aries,Wikidata:Q327227,False
19145,1997-09-24,Libra,Wikidata:Q21620666,False
19147,1990-05-06,Taurus,Wikidata:Q1705657,False
19150,1996-10-22,Libra,Wikidata:Q18921915,False
19152,1993-03-04,Pisces,Wikidata:Q5162304,False
19163,1995-02-24,Pisces,Wikidata:Q15622117,False
19170,,,,False
19179,1993-03-13,Pisces,Wikidata:Q16235643,False
19182,1997-11-14,Scorpio,Wikidata:Q27019988,False
19187,1995-09-10,Virgo,Wikidata:Q16056053,False
19191,1994-10-18,Libra,Wikidata:Q10547335,False
19192,2001-05-28,Gemini,Wikidata:Q63228677,False
19197,1985-09-03,Virgo,Wikidata:Q295627,False
19220,1999-01-10,Capricorn,Wikidata:Q38000669,False
19221,,,,False
19235,2000-08-09,Leo,Wikidata:Q56222532,False
19245,1999-03-22,Aries,Wikidata:Q37996874,False
19248,,,,False
19263,1998-10-06,Libra,Wikidata:Q35851317,False
19265,,,,False
19281,2000-01-07,Capricorn,Wikidata:Q52990659,False
19298,1997-08-07,Leo,Wikidata:Q23041943,False
19305,1997-11-21,Scorpio,Wikidata:Q28794002,False
19312,1998-10-01,Libra,Wikidata:Q70276774,False
19341,,,,False
19354,1997-10-23,Scorpio,Wikidata:Q27063854,False
19364,1996-08-14,Leo,Wikidata:Q1101455,False
19365,1997-05-01,Taurus,Wikidata:Q51727160,False
19366,1995-12-30,Capricorn,Wikidata:Q16911979,False
19428,1996-12-20,Sagittarius,Wikidata:Q26704890,False
19465,1995-09-15,Virgo,Wikidata:Q19665907,False
19480,1995-01-27,Aquarius,Wikidata:Q15054978,False
19484,1997-02-10,Aquarius,Wikidata:Q16023869,False
19485,1999-04-18,Aries,Wikidata:Q28606351,False
19495,2001-04-30,Taurus,API-Football-ID,True
19541,1995-11-09,Scorpio,Wikidata:Q18387424,False
19545,,,,False
19549,1997-08-08,Leo,Wikidata:Q35778151,False
19558,1991-09-10,Virgo,Wikidata:Q7407943,False
19573,1995-02-15,Aquarius,Wikidata:Q17811744,False
19586,1998-06-29,Cancer,Wikidata:Q28445512,False
19587,1996-06-14,Gemini,Wikidata:Q28101945,False
19599,1992-09-02,Virgo,API-Football-ID,True
19684,1994-02-10,Aquarius,Wikidata:Q21061926,False
19719,1997-10-11,Libra,Wikidata:Q16887631,False
19720,1999-07-05,Cancer,Wikidata:Q36696865,False
19733,1999-01-20,Aquarius,Wikidata:Q34994628,False
19760,1998-02-23,Pisces,Wikidata:Q26251403,False
19789,1993-05-29,Gemini,Wikidata:Q36999329,False
19825,1996-07-21,Cancer,Wikidata:Q27469960,False
19959,,,,False
20007,1997-02-16,Aquarius,Wikidata:Q18637246,False
20031,1996-02-24,Pisces,Wikidata:Q16245833,False
20089,,,,False
20093,,,,False
20355,1998-05-14,Taurus,Wikidata:Q27967807,False
20457,1995-10-21,Libra,Wikidata:Q17496350,False
20589,1999-08-07,Leo,Wikidata:Q49561427,False
20649,1996-09-03,Virgo,Wikidata:Q28101965,False
20665,1998-06-27,Cancer,Wikidata:Q26251607,False
20995,2000-04-06,Aries,Wikidata:Q60286976,False
21090,,,,False
21138,2001-06-06,Gemini,Wikidata:Q50825738,False
21998,1998-03-11,Pisces,Wikidata:Q23887767,False
22090,2001-03-24,Aries,Wikidata:Q56868118,False
22094,,,,False
22149,,,,False
22224,1997-12-19,Sagittarius,API-Football-ID,True
22233,1999-02-27,Pisces,Wikidata:Q43369896,False
24882,1998-03-18,Pisces,Wikidata:Q26838752,False
24888,,,,False
