player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
18779,Hamza Choudhury,Leicester,M,2024-08-19 19:00:00+00:00,2024-09-28 14:00:00+00:00,1,0,,,,False
405360,Harrison Armstrong,Everton,M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
19480,Harrison Reed,Fulham,M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,7,0,,,,False
403064,Harry Amass,Manchester United,D,2024-10-27 13:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
138836,Harry Clarke,Ipswich,D,2024-10-05 14:00:00+00:00,2024-10-26 14:00:00+00:00,2,1,,,,False
2935,Harry Maguire,Manchester United,D,2024-08-16 19:00:00+00:00,2024-10-06 13:00:00+00:00,5,3,,,,False
17365,Harry Toffolo,Nottingham Forest,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
19221,Harry Wilson,Fulham,M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,5,0,,,,False
182,Harry Winks,Leicester,M,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,9,8,,,,False
18778,Harvey Barnes,Newcastle,F | M,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,10,5,,,,False
180316,Harvey Davies,Liverpool,G,2024-10-27 15:30:00+00:00,2024-10-27 15:30:00+00:00,0,0,,,,False
19035,Harvey Elliott,Liverpool,M,2024-08-17 11:30:00+00:00,2024-09-01 15:00:00+00:00,1,0,,,,False
24888,Hee-Chan Hwang,Wolves,F | M,2024-08-17 14:00:00+00:00,2024-10-05 14:00:00+00:00,6,2,,,,False
186,Heung-min Son,Tottenham,F,2024-08-19 19:00:00+00:00,2024-10-19 11:30:00+00:00,6,6,,,,False
61742,Hákon Rafn Valdimarsson,Brentford,G,2024-08-18 13:00:00+00:00,2024-10-26 14:00:00+00:00,0,0,,,,False
138816,Ian Maatsen,Aston Villa,D,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,8,0,,,,False
22149,Ibrahim Sangaré,Nottingham Forest,M,2024-08-17 14:00:00+00:00,2024-08-31 14:00:00+00:00,3,3,,,,False
1145,Ibrahima Konaté,Liverpool,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,10,9,,,,False
2990,Idrissa Gueye,Everton,M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,9,7,,,,False
7600,Igor Júlio,Brighton,D,2024-08-24 11:30:00+00:00,2024-11-02 15:00:00+00:00,5,3,,,,False
18592,Iliman Ndiaye,Everton,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,8,,,,False
161671,Illia Zabarnyi,Bournemouth,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
273758,Imari Samuels,Brighton,D,2024-09-28 14:00:00+00:00,2024-09-28 14:00:00+00:00,0,0,,,,False
